Id,Label,timeset,pageranks,modularity_class
3173474,GANDALF,,0.081309,0
3173334,SAM,,0.049223,1
3173355,FRODO,,0.049159,1
3175271,FARAMIR,,0.040278,2
3173591,THEODEN,,0.048973,3
3175262,GOTHMOG,,0.046205,2
3174453,ELROND,,0.041161,1
3175604,IORLAS,,0.028201,0
3173224,SMEAGOL,,0.027689,1
3173479,GIMLI,,0.051603,3
3173466,MERRY,,0.042996,0
3173462,PIPPIN,,0.040548,0
3173660,ARAGORN,,0.042986,3
3173599,EOWYN,,0.035157,3
3174733,DENETHOR,,0.030042,0
3173306,GOLLUM,,0.025598,1
3175284,ORC COMMANDER,,0.016581,2
3175487,EOMER,,0.030664,3
3178232,GORBAG,,0.019775,1
3175794,WITCH KING,,0.019817,3
3174448,ARWEN,,0.008661,1
3180709,BILBO,,0.02627,1
3173218,DEAGOL,,0.010179,1
3180765,GALADRIEL,,0.02627,1
3176354,GAMLING,,0.012322,3
3177249,GATE GUARD,,0.009079,0
3177656,GOLLUM OS,,0.014378,1
3177098,KING OF THE DEAD,,0.01907,3
3173945,LEGOLAS,,0.019151,3
3177307,LIEUTENANT,,0.008649,2
3175503,MADRIL,,0.018037,2
3175522,RANGER,,0.018037,2
3178236,SHAGRAT,,0.014549,1
3175364,SOLDIER,,0.008125,0
3173516,TREEBEARD,,0.019258,0
